time,sales,prev_day_sales,last_weekday_sales,prev_month_sales,last_year_sales
2024-01-01 00:00:00,152.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,147.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,121.5,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,94.75,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,109.375,0.0,0.0,0.0,0.0
2024-01-01 10:00:00,81.6875,0.0,0.0,0.0,0.0
2024-01-01 12:00:00,80.84375,0.0,0.0,0.0,0.0
2024-01-01 14:00:00,98.421875,0.0,0.0,0.0,0.0
2024-01-01 16:00:00,126.2109375,0.0,0.0,0.0,0.0
2024-01-01 18:00:00,101.10546875,0.0,0.0,0.0,0.0
2024-01-01 20:00:00,92.552734375,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,76.2763671875,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,68.13818359375,152.0,0.0,0.0,0.0
2024-01-02 02:00:00,77.069091796875,147.0,0.0,0.0,0.0
2024-01-02 04:00:00,110.5345458984375,121.5,0.0,0.0,0.0
2024-01-02 06:00:00,110.26727294921875,94.75,0.0,0.0,0.0
2024-01-02 08:00:00,114.13363647460938,109.375,0.0,0.0,0.0
2024-01-02 10:00:00,100.06681823730469,81.6875,0.0,0.0,0.0
2024-01-02 12:00:00,72.03340911865234,80.84375,0.0,0.0,0.0
2024-01-02 14:00:00,77.01670455932617,98.421875,0.0,0.0,0.0
2024-01-02 16:00:00,110.50835227966309,126.2109375,0.0,0.0,0.0
2024-01-02 18:00:00,76.25417613983154,101.10546875,0.0,0.0,0.0
2024-01-02 20:00:00,81.12708806991577,92.552734375,0.0,0.0,0.0
2024-01-02 22:00:00,103.56354403495789,76.2763671875,0.0,0.0,0.0
2024-01-03 00:00:00,100.78177201747894,68.13818359375,0.0,0.0,0.0
2024-01-03 02:00:00,107.39088600873947,77.069091796875,0.0,0.0,0.0
2024-01-03 04:00:00,74.69544300436974,110.5345458984375,0.0,0.0,0.0
